web-scraper-order,web-scraper-start-url,link2,link2-href,name,degree,speciality,price,verified,yearsofexp,region
1695139939-1,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Kavitha,https://www.practo.com/bangalore/doctor/dr-kavitha-57-general-physician?practice_id=918580&specialization=General%20Physician&referrer=doctor_listing&page_uid=0204e329-457a-4d4d-b15d-18bce82c840f,Dr. Kavitha,"MBBS, DNB - Family Medicine",General Physician,₹ 750,Medical Registration Verified,20 Years Experience Overall,Yeshwanthpur
1695139951-2,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Ameena Meah,https://www.practo.com/bangalore/doctor/ameena-meah-general-physician?practice_id=1424899&specialization=General%20Physician&referrer=doctor_listing&page_uid=0204e329-457a-4d4d-b15d-18bce82c840f,Dr. Ameena Meah,"MBBS, MD - General Medicine, DNB - General Medicine","General Physician,",₹ 500,Medical Registration Verified,12 Years Experience Overall  (8 years as specialist),Hebbal
1695139962-3,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Rakshith B Das,https://www.practo.com/bangalore/doctor/dr-rakshith-b-das-general-physician?practice_id=1400915&specialization=General%20Physician&referrer=doctor_listing&page_uid=0204e329-457a-4d4d-b15d-18bce82c840f,Dr. Rakshith B Das,MBBS,General Physician,₹ 200,Medical Registration Verified,3 Years Experience Overall,Malleswaram
1695139974-4,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Mohit J,https://www.practo.com/bangalore/doctor/dr-mohit-j-general-physician?practice_id=1400909&specialization=General%20Physician&referrer=doctor_listing&page_uid=0204e329-457a-4d4d-b15d-18bce82c840f,Dr. Mohit J,MBBS,General Physician,₹ 200,Medical Registration Verified,3 Years Experience Overall,Peenya
1695139987-5,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Renuka C,https://www.practo.com/bangalore/doctor/dr-renuka-c-general-physician?practice_id=1401010&specialization=General%20Physician&referrer=doctor_listing&page_uid=0204e329-457a-4d4d-b15d-18bce82c840f,Dr. Renuka C,MBBS,General Physician,₹ 200,Medical Registration Verified,4 Years Experience Overall,Koramangla
1695139996-6,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Lorraine S Dias,https://www.practo.com/bangalore/doctor/lorraine-s-dias-general-physician?practice_id=1168814&specialization=General%20Physician&referrer=doctor_listing&page_uid=0204e329-457a-4d4d-b15d-18bce82c840f,Dr. Lorraine S Dias,"MBBS, MD - General Medicine","General Physician,",₹ 500,Medical Registration Verified,19 Years Experience Overall  (14 years as specialist),Vijayanagar
1695140006-7,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Jagadish Chandra,https://www.practo.com/bangalore/doctor/dr-jagadish-chandra-internal-medicine?practice_id=853078&specialization=General%20Physician&referrer=doctor_listing&page_uid=0204e329-457a-4d4d-b15d-18bce82c840f,Dr. Jagadish Chandra,"MD - General Medicine, MBBS","Internal Medicine,",₹ 600,Medical Registration Verified,35 Years Experience Overall  (26 years as specialist),Jayanagar
1695140016-8,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Sunil Babu B,https://www.practo.com/bangalore/doctor/dr-sunil-babu-b-general-physician?practice_id=1400918&specialization=General%20Physician&referrer=doctor_listing&page_uid=0204e329-457a-4d4d-b15d-18bce82c840f,Dr. Sunil Babu B,MBBS,General Physician,₹ 200,Medical Registration Verified,3 Years Experience Overall,Bomannahalli
1695140028-9,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Niveditha Alok Swamy,https://www.practo.com/bangalore/doctor/niveditha-alok-swamy-general-physician?practice_id=1268772&specialization=General%20Physician&referrer=doctor_listing&page_uid=0204e329-457a-4d4d-b15d-18bce82c840f,Dr. Niveditha Alok Swamy,"MBBS, MD - General Medicine","General Physician,",₹ 600,Medical Registration Verified,13 Years Experience Overall  (9 years as specialist),Bomannahalli
1695140038-10,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Anil Kumar K C,https://www.practo.com/bangalore/doctor/dr-anil-kumar-k-c-general-physician?practice_id=1401008&specialization=General%20Physician&referrer=doctor_listing&page_uid=0204e329-457a-4d4d-b15d-18bce82c840f,Dr. Anil Kumar K C,MBBS,General Physician,₹ 200,Medical Registration Verified,6 Years Experience Overall,Banashankari
1695140061-11,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Himaaldev G J,https://www.practo.com/bangalore/doctor/dr-himaal-dev-emergency-critical-care?practice_id=1055989&specialization=General%20Physician&referrer=doctor_listing&page_uid=2a8703ba-20fc-44f3-8911-0b7f536f6876,Dr. Himaaldev G J,"MBBS, MD - Anaesthesiology","Critical Care Medicine,",₹ 740,Medical Registration Verified,11 Years Experience Overall  (6 years as specialist),Seshadripuram
1695140072-12,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Aamir Muhamed,https://www.practo.com/bangalore/doctor/aamir-muhamed-general-physician?practice_id=1400932&specialization=General%20Physician&referrer=doctor_listing&page_uid=2a8703ba-20fc-44f3-8911-0b7f536f6876,Dr. Aamir Muhamed,MBBS,General Physician,₹ 200,Medical Registration Verified,5 Years Experience Overall,Koramangla
1695140083-13,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Nupur Tandon,https://www.practo.com/bangalore/doctor/dr-nupur-tandon?practice_id=711486&specialization=General%20Physician&referrer=doctor_listing&page_uid=2a8703ba-20fc-44f3-8911-0b7f536f6876,Dr. Nupur Tandon,MBBS,General Physician,₹ 700,Medical Registration Verified,14 Years Experience Overall,Sarjapura
1695140094-14,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Bhargavi Botlagunta,https://www.practo.com/bangalore/doctor/bhargavi-botlagunta-general-physician?practice_id=1258011&specialization=General%20Physician&referrer=doctor_listing&page_uid=2a8703ba-20fc-44f3-8911-0b7f536f6876,Dr. Bhargavi Botlagunta,"MBBS, MD - General Medicine","General Physician,",₹ 500,Medical Registration Verified,13 Years Experience Overall  (5 years as specialist),Sarjapura
1695140106-15,https://www.practo.com/search/doctors?results_type=doctor&q=%5B%7B%22word%22%3A%22General%20Physician%22%2C%22autocompleted%22%3Atrue%2C%22category%22%3A%22subspeciality%22%7D%5D&city=Bangalore,Dr. Naveen Upar,https://www.practo.com/bangalore/doctor/dr-naveen-upar-general-physician?practice_id=1400931&specialization=General%20Physician&referrer=doctor_listing&page_uid=2a8703ba-20fc-44f3-8911-0b7f536f6876,Dr. Naveen Upar,MBBS,General Physician,₹ 200,Medical Registration Verified,6 Years Experience Overall,Peenya
